"大分类","小分类","语言","名字","更新时间","下载地址","SHA1","大小"
"操作系统","MS-DOS","中文 - 简体","MS-DOS 6.22 (Simplified Chinese)","2000-03-02","ed2k://|file|SC_MSDOS622sc.exe|10020288|0B2B0878B8BBD2233D23022EE5339637|/","DD3C5CAD0FF837C38D5EB14B0D59E9A670792DCC","9.56MB"
"操作系统","MS-DOS","英语","MS-DOS 6.0 (English)","2000-10-12","ed2k://|file|EN_MSDOS60.exe|5135248|8F78BD4143EE38DCBCFCECA063629EC1|/","877B0B8E391ED07CB83214CB09E8F3B10C4B206F","4.9MB"
"操作系统","MS-DOS","英语","MS-DOS 6.22 (English)","2000-10-12","ed2k://|file|EN_MSDOS622.exe|11780600|B9F44455AA980C790EF4426A14A838F5|/","D01AA47A5D85908185F8987E972AFC66DC92A735","11.23MB"
"操作系统","MS-DOS","法语","MS-DOS 6.22 (French)","2000-03-02","ed2k://|file|fr_msdos622.exe|5347752|987A89E16D1F13E6A9257582B8A2CCF0|/","94D1D6DC7758999647E9CEAF0D502437E1556CCC","5.1MB"
"操作系统","MS-DOS","德语","MS-DOS 6.22 (German)","2000-03-02","ed2k://|file|de_msdos622.exe|5437080|575B1A4A0AA231711F4D72DDEBF7CA9C|/","88C996A8D4FB694660491956E2F1B9316D212523","5.19MB"
"操作系统","MS-DOS","意大利语","MS-DOS 6.22 (Italian)","2003-11-03","ed2k://|file|it_msdos622.exe|5654528|DBD35A686AD953C16C69139E80FED8C5|/","3BAED223805A933F78A402BAACE1F51D090DBB3F","5.39MB"
"操作系统","MS-DOS","日语","MS-DOS 6.2 (Japanese)","2000-03-02","ed2k://|file|ja_msdos62.exe|13990264|CC9A7EDE6CDDCB343EAB4990B5020D00|/","2855EB830F99395E79C86DF9E1DF85278F349A3D","13.34MB"
"操作系统","MS-DOS","韩语","MS-DOS 6.2 (Korean)","2000-03-02","ed2k://|file|ko_msdos62.exe|5874064|F706222F71ADD2850D7F1DA8B37C4BBD|/","38FC1AC768FEF6DBC9EDB1BBE5FFEC9624D8641A","5.6MB"
"操作系统","MS-DOS","葡萄牙语","MS-DOS 6.22 (Brazilian Portuguese)","2000-03-02","ed2k://|file|br_msdos622.exe|5489832|143FFC455253DA4CDAAEC6E730BC3D29|/","F02C0DDD4F13AB49FF73A2176F345C9B07E32797","5.24MB"
"操作系统","MS-DOS","俄语","MS-DOS 5 (Russian)","2000-03-02","ed2k://|file|ru_msdos5.exe|2811024|C916BB7775A9FC1C5A33E36555116676|/","4DF6DA9EE3FCBABDA7AC2714705DED129BC9D644","2.68MB"
"操作系统","MS-DOS","西班牙语","MS-DOS 6.22 (Spanish)","2000-03-02","ed2k://|file|es_msdos622.exe|5396128|C652B8D3E9FBE088D4205FBAAA51F050|/","90C002453902B7C84AD39CCF1367A011A00BB340","5.15MB"
"操作系统","Small Business Server 2003","中文 - 简体","Windows Small Business Server 2003 Premium Edition Service Pack 1 - CD 3 (Simplified Chinese)","2005-06-16","ed2k://|file|sc_sbs_2003_prm_sp1_disc3.iso|327647232|BA7F7E643907C85B7C9BB47D8FFC9A8D|/","C5B2AE8450FCF99FC64D9DF1E7E19173A1E5B98D","312.47MB"
"操作系统","Small Business Server 2003","中文 - 简体","Windows Small Business Server 2003 Standard and Premium Edition Service Pack 1 - CD 1 (Simplified Chinese)","2005-06-16","ed2k://|file|sc_sbs_2003_std_sp1_disc1.iso|448643072|247CE16DC6D44DCA66305CFC4FA59577|/","BAA1451F8CAB627B66B230BF1A29BB330CBDFD6E","427.86MB"
"操作系统","Small Business Server 2003","中文 - 简体","Windows Small Business Server 2003 Standard and Premium Edition Service Pack 1 - CD 2 (Simplified Chinese)","2005-06-16","ed2k://|file|sc_sbs_2003_std_sp1_disc2.iso|528435200|6406F256CCEE12E5B0C153A247153B68|/","36A758D6EBAE50E289751145DAE9AC420875BED5","503.96MB"
"操作系统","Small Business Server 2003","英语","Windows Small Business Server 2003 Standard and Premium Edition Service Pack 1 - CD 1 (English)","2005-06-01","ed2k://|file|en_sbs_2003_std_sp1_disc1.iso|454645760|6CB8494FE78AB895B7A0CDD61CA8855C|/","6F61A1D272613D2B4622E7AE7DF9051AC72D1B84","433.58MB"
"操作系统","Small Business Server 2003","英语","Windows Small Business Server 2003 Standard and Premium Edition Service Pack 1 - CD 2 (English)","2005-06-01","ed2k://|file|en_sbs_2003_std_sp1_disc2.iso|496449536|6C05780F13024AC23D328D2EB694DCBB|/","9585C1B162EF2125A5C592A2903C75404F463FE1","473.45MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - Disc 1 (Simplfied Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_cd1.iso|650360832|EB4F15E866986A8CEE56095B04CCF73E|/","A37B70960A590C70FFAB80445605763E04B82549","620.23MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - Disc 2 (Simplfied Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_cd2.iso|665221120|5DD26631998B43FB68900A6E0AA54C14|/","637732C1CD09FD0BA60D8DF2629266DB045C5B1E","634.4MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - Disc 3 (Simplfied Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_cd3_a.iso|663828480|FA1A9383D692BE0F1F8870F2B8F0C2A7|/","CE2570B8E419F2A573240FC1A8CF342E905E7289","633.08MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - Disc 4 (Simplfied Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_cd4.iso|310190080|D139C9415FDD7B1E532E84FB163BF81C|/","EFDA6E870AA4CD61C4FDF1DFCEA31068F20A5E07","295.82MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - Disc 5 (Office Outlook 2003) (Simplfied Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_cd5.iso|361619456|0DBD64F799E1CB9ECF052D249E1D9A94|/","9C7C398CA0E3562CBE898D9F4D92718D833BA4C6","344.87MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - Premium Technologies Disc 1 (Simplified Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_prem_tech_cd1_a.iso|483028992|3B7E67980A4044C679CBBFCE9568DA74|/","02A12644499905128B1091439F0F72F073CA0905","460.65MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - Premium Technologies Disc 2 (Simplified Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_prem_tech_cd2_a.iso|633053184|D4F9A63A4EDFE7DD2130175A748430DE|/","A851396C8DFA05D02AEE762D9B332AFD13DB49C6","603.73MB"
"操作系统","Small Business Server 2003 R2","中文 - 简体","Small Business Server 2003 R2 Premium Edition - R2 Technologies CD (Simplified Chinese)","2006-07-11","ed2k://|file|sc_sbs_2003_r2_tech_a.iso|581855232|0E9BC8A1415DB431B3E6F5A8740C3583|/","03E137C2BF70887F0C42FF365FFE212F6DC0A23A","554.9MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - Disc 1 (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_cd1.iso|636483584|5907891E747F7CDA0D45D10B2839CE00|/","8505C694E236C9EF6AA52DE6D218AD1278EED2A2","607MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - Disc 2 (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_cd2.iso|666593280|F58E1D47056A1C45EBF3161FD1B3A5AA|/","B6CE694C9D65C8B682DCC187E475C03AC13E8D3E","635.71MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - Disc 3 (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_cd3.iso|641054720|2A3E739D1D70A4E18728322EEB911B10|/","67C5001E9EE216DDF754602A749471F7DB6F09B4","611.36MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - Disc 4 (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_cd4.iso|299462656|1B61C44F277FAD8E15FB7C51062CDF7D|/","85B5D5EE291B88413FFD3CB572F946F3B8413809","285.59MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - Disc 5 (Office Outlook 2003) (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_cd5.iso|180264960|E55B967199828FB437284E9CCFEA00CE|/","C06D94066C10EA4903AAADE9896238D1C75BA59F","171.91MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - Premium Technologies Disc 1 (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_prem_tech_cd1.iso|469899264|50590B04C894577ADC9C5547365C7525|/","B3C5479C5257D3B8168B6D7A821DB6DC5CAD27B7","448.13MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - Premium Technologies Disc 2 (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_prem_tech_cd2.iso|602462208|24DB7419AAEF5EB8D832E4FAE53395FF|/","84E0A5BBA3FE3598EA9F5353903D80DCDBF3BA00","574.55MB"
"操作系统","Small Business Server 2003 R2","英语","Small Business Server 2003 R2 Premium Edition - R2 Technologies CD (English)","2006-07-11","ed2k://|file|en_sbs_2003_r2_tech_a.iso|580034560|9922861D799B2CAF88C90ED396553764|/","41BE8A42881F72C75F2EEC80CCB521823D693505","553.16MB"
"操作系统","Windows 10","中文 - 简体","Windows 10 (Multiple Editions) (x64) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_multiple_editions_x64_dvd_6848463.iso|4303300608|94FD861E82458005A9CA8E617379856A|/","C71D49A6144772F352806201EF564951BE55EDD5","4.01GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 (Multiple Editions) (x86) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_multiple_editions_x86_dvd_6846431.iso|3233482752|B5C706594F5DC697B2A098420C801112|/","21B824F402927E76C65160B62EB8A4EBBABE9C6E","3.01GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Education (x64) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_education_x64_dvd_6847843.iso|4159854592|50A2126871A73D48FAE49D7D928D5343|/","C948D930E229AB277AAFF9233CBD46F125AAC179","3.87GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Education (x86) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_education_x86_dvd_6847858.iso|3097344000|E65D0B95FC75EC17FA6E72DC7433B46F|/","F5E5B26C03180D492E32872B5D0E16DCFC134DA8","2.88GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Enterprise (x64) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_enterprise_x64_dvd_6846957.iso|4162242560|3F657E387CD65FE7BA69DACAAE0E3510|/","071A2B6CB634D46E12DC2B287DCFDB737A615281","3.88GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Enterprise (x86) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_enterprise_x86_dvd_6846962.iso|3100794880|B605D57635502A46B86ACC73764CCD9A|/","83797D3477E3E5346F804D65E46EF227A4535B1D","2.89GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Enterprise 2015 LTSB (x64) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_enterprise_2015_ltsb_x64_dvd_6848425.iso|3907538944|38E47AB92B6D97DF2BE602BBC9969D34|/","179A95E6A498EFE079FB1817D1ADF5A3B7793B4D","3.64GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Enterprise 2015 LTSB (x86) - DVD (Chinese-Simplified)","2015-07-29","ed2k://|file|cn_windows_10_enterprise_2015_ltsb_x86_dvd_6848426.iso|2887350272|681C2F80A511FCEC73B7A5D878D4D9EC|/","B0181D56B7C699890B69A21E77EDA40884F3CF24","2.69GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Enterprise 2016 LTSB (x64) - DVD (Chinese-Simplified)","2016-08-11","ed2k://|file|cn_windows_10_enterprise_2016_ltsb_x64_dvd_9060409.iso|3821895680|FF17FF2D5919E3A560151BBC11C399D1|/","9E405E950890D2A196565BCA35E152F9CFAD296D","3.56GB"
"操作系统","Windows 10","中文 - 简体","Windows 10 Enterprise 2016 LTSB (x86) - DVD (Chinese-Simplified)","2016-08-11","ed2k://|file|cn_windows_10_enterprise_2016_ltsb_x86_dvd_9057089.iso|2817034240|67C3865D03E765BDD4845BA2CB7649F8|/","0422052F25C9C8DF983F3B287F725860AAB907CF","2.62GB"
"操作系统","Windows 10","英语","Windows 10 (Multiple Editions) (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_multiple_editions_x64_dvd_6846432.iso|4083853312|E59F65B0C508FB1C1FAE337EDF83058E|/","60CCE9E9C6557335B4F7B18D02CFE2B438A8B3E2","3.8GB"
"操作系统","Windows 10","英语","Windows 10 (Multiple Editions) (x64) - DVD (English-United Kingdom)","2015-07-29","ed2k://|file|en-gb_windows_10_multiple_editions_x64_dvd_6846903.iso|4102725632|CD54C321FF945E7BF527503E653EABB1|/","3E4734DE476327F67D2E97CDEADEDB4BEA98623C","3.82GB"
"操作系统","Windows 10","英语","Windows 10 (Multiple Editions) (x86) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_multiple_editions_x86_dvd_6848465.iso|3052865536|263359E2AB0F324CDF5A4BFCA9B25B36|/","D927A91E1DD7D9C6023D0DA1DBCB16DEFEC5B6C1","2.84GB"
"操作系统","Windows 10","英语","Windows 10 (Multiple Editions) (x86) - DVD (English-United Kingdom)","2015-07-29","ed2k://|file|en-gb_windows_10_multiple_editions_x86_dvd_6846906.iso|3079469056|5E3AEB2182A81977D3EA48961EB3C362|/","DA7F63166DB9ABB9B613F302866D1B0A8F686646","2.87GB"
"操作系统","Windows 10","英语","Windows 10 Education N (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_education_n_x64_dvd_6847236.iso|3786784768|7C90D10EBC7FDAC90238CDA55AE55976|/","3B008F41505B3DE7188F7577EE81D95F57E0D04B","3.53GB"
"操作系统","Windows 10","英语","Windows 10 Education N (x86) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_education_n_x86_dvd_6847243.iso|2813374464|F44692893A8DB290EE83528751571692|/","841CC023EBCD5FC3B32560939AC655F710438175","2.62GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_x64_dvd_6851151.iso|3939235840|D034A8F1765F7BF6ACCB8F374F69AB60|/","30AD1CDF5D0670F12788005131E24862F6AB8AAB","3.67GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise (x86) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_x86_dvd_6851156.iso|2909575168|6A777DF48ABE80E42864E6B9E7359256|/","E7138032986BFCFA0E5F1A8E41E2E9FD1EC94268","2.71GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2015 LTSB (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_2015_ltsb_x64_dvd_6848446.iso|3692136448|CD56214A54AFF601E6F44C799EEBEF6F|/","264D48C902E6B586A1ED965062F7DA4D4DA99B35","3.44GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2015 LTSB (x86) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_2015_ltsb_x86_dvd_6848454.iso|2706466816|BB87DCFFDC6DD992DCF0914CC994F9AB|/","ABE400AD86C604197A3B163E31AFCC1B7C53325E","2.52GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2015 LTSB N (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_2015_ltsb_n_x64_dvd_6848316.iso|3569301504|5E8AFD8E5ECA60A59734720AF1227989|/","DBE728416545EA3E47FBA05575E81AD0F595871F","3.32GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2015 LTSB N (x86) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_2015_ltsb_n_x86_dvd_6848317.iso|2621814784|8EFB58CF06EC14DB6D33543F892C3245|/","E9E214F128ED325CBA8782CE1946727807340C8B","2.44GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB (x64) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_x64_dvd_9059483.iso|3577901056|76E819D417B9B511FF558DABADA170BE|/","031ED6ACDC47B8F582C781B039F501D83997A1CF","3.33GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB (x86) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_x86_dvd_9060010.iso|2642147328|682EC35820374C32A8B51D9B32F036DC|/","45E72D02FF17125C699558719EB946D8E140C9CC","2.46GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB N (x64) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_n_x64_dvd_9057894.iso|3454820352|AFC1CF9377D01F1557A46C05F599F6C4|/","B5D4911BD53EC5029781ADE0937DAD43C4ED90F6","3.22GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB N (x86) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_n_x86_dvd_9058202.iso|2554556416|733F99E3F69CF8A9953F3018E8BDED3F|/","3F8F9811A7E72ADF88215060E38BA81340DFB0C0","2.38GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise N (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_n_x64_dvd_6852541.iso|3787139072|951F2E4B0024DB84268F298C49B3BBAD|/","804625011BA1E6768F68E9996FB0B5034F3052F4","3.53GB"
